Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,1289.949951,1290.199951,1285.949951,1289.420044,1289.420044,0
1/3/2018,1289.420044,1289.420044,1279.01001,1279.48999,1279.48999,0
1/4/2018,1279.48999,1283.410034,1277.75,1283.410034,1283.410034,0
1/5/2018,1283.410034,1302.97998,1283.410034,1299.540039,1299.540039,0
1/8/2018,1299.540039,1308.810059,1299.540039,1303.339966,1303.339966,0
1/9/2018,1303.339966,1317.02002,1302.650024,1316.540039,1316.540039,0
1/10/2018,1316.540039,1331.939941,1316.540039,1331.719971,1331.719971,0
1/11/2018,1331.719971,1340.439941,1331.719971,1338.709961,1338.709961,0
1/12/2018,1338.709961,1344.97998,1336.060059,1342.22998,1342.22998,0
1/15/2018,1342.22998,1343.26001,1338.300049,1338.300049,1338.300049,0
1/16/2018,1338.300049,1342.349976,1330.609985,1336.199951,1336.199951,0
1/17/2018,1336.199951,1361.829956,1336.199951,1358.819946,1358.819946,0
1/18/2018,1358.819946,1371.349976,1358.819946,1369.930054,1369.930054,0
1/19/2018,1369.930054,1373.790039,1359.030029,1371.800049,1371.800049,0
1/22/2018,1371.800049,1379.77002,1371.800049,1377.630005,1377.630005,0
1/23/2018,1377.630005,1385.900024,1377.630005,1384.109985,1384.109985,0
1/24/2018,1384.109985,1384.280029,1375.880005,1382.319946,1382.319946,0
1/25/2018,1382.319946,1389.869995,1382.319946,1386.550049,1386.550049,0
1/26/2018,1386.550049,1388.089966,1371.339966,1374.300049,1374.300049,0
1/29/2018,1374.300049,1374.300049,1354.410034,1369.300049,1369.300049,0
1/30/2018,1369.300049,1371.869995,1364.420044,1369.199951,1369.199951,0
1/31/2018,1369.199951,1373.579956,1364.390015,1367.380005,1367.380005,0
2/1/2018,1367.380005,1367.380005,1356.709961,1365.349976,1365.349976,0
2/2/2018,1365.349976,1366.459961,1357.209961,1359.609985,1359.609985,0
2/5/2018,1359.609985,1361.640015,1340.099976,1340.150024,1340.150024,0
2/6/2018,1340.150024,1340.150024,1304.849976,1326.01001,1326.01001,0
2/7/2018,1326.01001,1334.27002,1326.01001,1334.27002,1334.27002,0
2/8/2018,1334.27002,1385.98999,1334.27002,1361.459961,1361.459961,0
2/9/2018,1361.459961,1366.890015,1356.410034,1366.280029,1366.280029,0
2/12/2018,1366.280029,1370.670044,1365.540039,1367.569946,1367.569946,0
2/13/2018,1367.569946,1369.589966,1347.560059,1358.040039,1358.040039,0
2/14/2018,1358.040039,1363.579956,1356.670044,1358.709961,1358.709961,0
2/15/2018,1358.709961,1360.959961,1353.459961,1354.060059,1354.060059,0
2/16/2018,1354.060059,1366.310059,1352.119995,1365.900024,1365.900024,0
2/19/2018,1365.900024,1385.130005,1365.900024,1378.23999,1378.23999,174123000
2/20/2018,1378.23999,1382.199951,1375.119995,1375.819946,1375.819946,0
2/21/2018,1375.819946,1382.810059,1365.880005,1372.76001,1372.76001,0
2/22/2018,1372.76001,1375.880005,1369.930054,1372.150024,1372.150024,0
2/23/2018,1372.150024,1375.630005,1358.349976,1362.72998,1362.72998,0
2/26/2018,1362.72998,1366.949951,1360.900024,1364.560059,1364.560059,0
2/27/2018,1364.560059,1364.560059,1346.930054,1346.930054,1346.930054,0
2/28/2018,1346.930054,1377.189941,1334.170044,1372.420044,1372.420044,0
3/1/2018,1372.420044,1372.420044,1364.27002,1370.290039,1370.290039,0
3/2/2018,1370.290039,1370.290039,1361.869995,1368.339966,1368.339966,0
3/5/2018,1368.339966,1378.23999,1364.150024,1375.22998,1375.22998,72515500
3/6/2018,1375.22998,1387.469971,1375.22998,1384.160034,1384.160034,0
3/7/2018,1384.160034,1385.810059,1362.709961,1385.319946,1385.319946,0
3/8/2018,1385.319946,1388.530029,1377.26001,1377.26001,1377.26001,0
3/9/2018,1377.26001,1377.26001,1370.140015,1370.540039,1370.540039,0
3/12/2018,1370.540039,1370.540039,1367.430054,1368.630005,1368.630005,0
3/13/2018,1368.630005,1368.630005,1355.209961,1360.780029,1360.780029,0
3/14/2018,1360.780029,1374.300049,1358.949951,1359.140015,1359.140015,0
3/15/2018,1359.140015,1360.98999,1355.670044,1360.130005,1360.130005,0
3/16/2018,1360.130005,1365.920044,1359.560059,1365.660034,1365.660034,0
3/19/2018,1365.660034,1365.660034,1356.790039,1356.790039,1356.790039,0
3/20/2018,1356.790039,1363.140015,1356.099976,1359.180054,1359.180054,0
3/21/2018,1359.180054,1363.339966,1358.51001,1363.339966,1363.339966,0
3/22/2018,1363.339966,1364.969971,1356.180054,1356.180054,1356.180054,0
3/23/2018,1356.180054,1356.180054,1344.579956,1347.380005,1347.380005,0
3/26/2018,1347.380005,1349.48999,1346.280029,1347.869995,1347.869995,0
3/27/2018,1347.869995,1363.439941,1347.869995,1356.099976,1356.099976,0
3/28/2018,1356.099976,1362.640015,1354.579956,1361.300049,1361.300049,0
3/29/2018,null,null,null,null,null,null
4/3/2018,1361.300049,1362.709961,1356.01001,1358.959961,1358.959961,0
4/4/2018,1358.959961,1359.449951,1348.030029,1348.030029,1348.030029,0
4/5/2018,1348.030029,1349.560059,1344.599976,1347.98999,1347.98999,0
4/6/2018,1347.98999,1355.579956,1345.719971,1355.579956,1355.579956,0
4/9/2018,1355.579956,1356.439941,1349.839966,1349.900024,1349.900024,0
4/10/2018,1349.900024,1351.959961,1345.609985,1350.76001,1350.76001,0
